#temps e^- Ar B C K L 
0.6900000000000004 0.5439897723191393 0.666368366451765 0.28712266054012303 0.3801406065563472 0.07586962112451381 0.07586962112451381 
0.7000000000000004 0.5396046042340255 0.6649536009659179 0.2877587480958243 0.3823340499723399 0.07806134579363491 0.07806134579363491 
0.7100000000000004 0.5352605775594521 0.663592477554317 0.28834582322722435 0.38446922166414177 0.08027020077640638 0.08027020077640638 
0.7200000000000004 0.5309571143944528 0.662283669545506 0.2888853090745867 0.3865473518344015 0.0824955337711459 0.0824955337711459 
0.7300000000000004 0.5266936496980199 0.6610258793831195 0.2893785932956757 0.38856964793808546 0.08473670236389491 0.08473670236389491 
0.7400000000000004 0.522469630930676 0.659817838208667 0.2898270287406005 0.39053729484206556 0.0869930742272586 0.0869930742272586 
0.7500000000000004 0.5182845177063586 0.658658305435354 0.29023193412641907 0.3924514550028733 0.08926402729076825 0.08926402729076825 
0.7600000000000005 0.5141377814543502 0.6575460683141665 0.29059459471057275 0.3943132686610944 0.09154894988455561 0.09154894988455561 
0.7700000000000005 0.5100289050909967 0.6564799414933786 0.29091626296228534 0.3961238540509576 0.09384724085804594 0.09384724085804594 
0.7800000000000005 0.5059573827009579 0.6554587665725674 0.2911981592311191 0.3978843076237463 0.0961583096752959 0.0961583096752959 
0.7900000000000005 0.5019227192277382 0.6544814116521616 0.2914414724119402 0.3995957042837369 0.09848157648852503 0.09848157648852503 
0.8000000000000005 0.4979244301732496 0.653546770879481 0.29164736060560126 0.4012590976354371 0.10081647219131348 0.10081647219131348 
0.8100000000000005 0.49396204130616556 0.6526537639921661 0.29181695177470035 0.40287552024096784 0.10316243845286673 0.10316243845286673 
0.8200000000000005 0.4900350883788259 0.6518013358598362 0.29195134439383014 0.40444598388649783 0.10551892773467639 0.10551892773467639 
0.8300000000000005 0.4861431168524593 0.6509884560247621 0.2920516080937755 0.4059714798567008 0.1078854032908401 0.1078854032908401 
0.8400000000000005 0.482285681630494 0.6502141182422811 0.29211878429916827 0.40745297921626983 0.11026133915323633 0.11026133915323633 
0.8500000000000005 0.4784623467997323 0.649477340021636 0.2921538868591489 0.4088914330975794 0.11264622010268836 0.11264622010268836 
0.8600000000000005 0.4746726853791687 0.6487771621678659 0.2921579026706286 0.41028777299364033 0.11503954162719121 0.11503954162719121 
0.8700000000000006 0.4709162790762356 0.6481126483253338 0.2921317922937846 0.4116429110555484 0.11744080986821619 0.11744080986821619 
0.8800000000000006 0.4671927180502684 0.6474828845234315 0.29207649055945956 0.41295774039367794 0.11984954155605387 0.11984954155605387 
